원표기	측정맥락	표준명	표준코드	CAS	IARC	유형	비유해	연관인자	매핑근거	신뢰도	사례수	측정건수
광물성분진		기타 분진 및 입자상 물질	기타분진-030						동의어사전→기타 분진 및 입자상 물질	R	1	1
교대근무		교대 근무	교대근무-112		Group 2A				레지스트리 정확일치	R	1	1
규소		결정형 유리규산	광물성분-012	14808-60-7	Group 1				동의어사전→결정형 유리규산	R	1	1
그람음성간균		생물학적 인자	생물학적-088						동의어사전→생물학적 인자	R	1	1
극저주파		극저주파 자기장	극저주파-023		Group 2B				별표22:극저주파 자기장	R	1	1
극저주파 자기장(ELF-MF)	ELF-MF	극저주파 자기장	극저주파-023		Group 2B				별표22:극저주파 자기장	R	1	1
극저주파(자기장)	자기장	극저주파 자기장	극저주파-023		Group 2B				별표22:극저주파 자기장	R	1	1
근육 동원 비율						비유해인자	측정지표		비유해인자:측정지표	NA	1	1
기압 (대기압 변화)	대기압 변화	이상기압				물리적			정준명(레지스트리 외)	C	1	1
기중 유기용제		유기용제	유기용제-146						레지스트리 포함매칭	R	1	1
기타 분진		기타 분진 및 입자상 물질	기타분진-030						레지스트리 포함매칭	R	1	1
기타분진(유리규산 1% 이하)	유리규산 1% 이하	기타 분진 및 입자상 물질	기타분진-030						레지스트리 포함매칭	R	1	1
납 (X선형광분석)	X선형광분석	납 및 그 무기화합물	납및그무-034	7439-92-1	Group 2A				동의어사전→납 및 그 무기화합물	R	1	1
납 (혈중)	혈중	납 및 그 무기화합물	납및그무-034	7439-92-1	Group 2A				동의어사전→납 및 그 무기화합물	R	1	1
뇌간유발반응검사 (우측)	우측					비유해인자	임상검사		비유해인자:임상검사	NA	1	1
뇌간유발반응검사 (좌측)	좌측					비유해인자	임상검사		비유해인자:임상검사	NA	1	1
니켈·크롬·납 등의 중금속		중금속류	중금속류-171						동의어사전→중금속류	R	1	1
니트로스아민		N-니트로소화합물				유기화합물			정준명(레지스트리 외)	C	1	1
다핵방향족탄화수소		다환방향족탄화수소	다환방향-039		Group 1				동의어사전→다환방향족탄화수소	R	1	1
디젤 배출물		디젤엔진배출물	디젤엔진-044		Group 1				동의어사전→디젤엔진배출물	R	1	1
디클로로메탄(MC)	MC	디클로로메탄	디클로로-053	75-09-2	Group 2A				레지스트리 정확일치	R	1	1
디클로로프로판(1,2-dichloropropane, DCP)	1,2-dichloropropane, DCP	1,2-디클로로프로판	12디클-000	78-87-5	Group 1				레지스트리 포함매칭	R	1	1
메타콜린						비유해인자	임상검사		비유해인자:임상검사	NA	1	1
메타콜린유발검사(일초량)	일초량					비유해인자	임상검사		비유해인자:임상검사	NA	1	1
메틸렌 클로라이드(MC)	MC	디클로로메탄	디클로로-053	75-09-2	Group 2A				동의어사전→디클로로메탄	R	1	1
메틸알코올		메탄올				유기용제			정준명(레지스트리 외)	C	1	1
면분진		면 분진(면직물)				분진			정준명(레지스트리 외)	C	1	1
모니터 평균밝기(동종 비교 모니터)	동종 비교 모니터					비유해인자	측정지표		비유해인자:측정지표	NA	1	1
모니터 평균밝기(사용 모니터)	사용 모니터					비유해인자	측정지표		비유해인자:측정지표	NA	1	1
목분진		목재 분진	목재분진-056		Group 1				동의어사전→목재 분진	R	1	1
목이 굽혀지거나 비틀려진 상태		근골격계 유해요인	근골격계-025						동의어사전→근골격계 유해요인	R	1	1
목재 분진		목재 분진	목재분진-056		Group 1				레지스트리 정확일치	R	1	1
뮤콘산 (소변 중)	소변 중					비유해인자	생체지표	벤젠	비유해인자:생체지표	NA	1	1
방사선 (Ionizer)	Ionizer	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
방사선 (누적노출선량, 외국 연구 사례)	누적노출선량, 외국 연구 사례	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
방사선 (누적선량)	누적선량	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
방사선 (체내)	체내	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
방사선 (체외)	체외	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
방사선 유효선량 (Ionizer)	Ionizer	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
방사선 총 노출선량 (Ionizer)	Ionizer	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
방사선(X선)	X선	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
방사선(개인피폭선량)	개인피폭선량	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
방사선(이오나이저)	이오나이저	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
방사선(전리방사선)	전리방사선	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
방사선(체외 피폭)	체외 피폭	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
방사선노출량		전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
방사선량		전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
베릴륨 및 함유제제		베릴륨 및 그 화합물	베릴륨및-066	7440-41-7	Group 1				동의어사전→베릴륨 및 그 화합물	R	1	1
벤젠 1종		벤젠	벤젠-067	71-43-2	Group 1				레지스트리 포함매칭	R	1	1
벤젠 2종		벤젠	벤젠-067	71-43-2	Group 1				레지스트리 포함매칭	R	1	1
벤젠(누적노출량)	누적노출량	벤젠	벤젠-067	71-43-2	Group 1				레지스트리 정확일치	R	1	1
벤젠(최대 누적노출)	최대 누적노출	벤젠	벤젠-067	71-43-2	Group 1				레지스트리 정확일치	R	1	1
벤젠(평균 누적노출)	평균 누적노출	벤젠	벤젠-067	71-43-2	Group 1				레지스트리 정확일치	R	1	1
벤젠함유량		벤젠	벤젠-067	71-43-2	Group 1				레지스트리 포함매칭	R	1	1
부유세균		생물학적 인자	생물학적-088						동의어사전→생물학적 인자	R	1	1
분진1종(탈크)	탈크	활석	활석-187	14807-96-6	Group 2B				동의어사전→활석	R	1	1
불산(불화수소)	불화수소	불화수소	불화수소-073	7664-39-3					동의어사전→불화수소	R	1	1
브롬		브롬화 화합물	브롬화화-077						동의어사전→브롬화 화합물	R	1	1
비소 (소변 총 비소)	소변 총 비소	비소 및 그 무기화합물	비소및그-079	7440-38-2	Group 1				동의어사전→비소 및 그 무기화합물	R	1	1
비소(요중)	요중	비소 및 그 무기화합물	비소및그-079	7440-38-2	Group 1				동의어사전→비소 및 그 무기화합물	R	1	1
사이클로헥사논		시클로헥사논				유기용제			정준명(레지스트리 외)	C	1	1
사이클로헥산		시클로헥산				유기용제			정준명(레지스트리 외)	C	1	1
산화마그네슘		산화마그네슘				금속산화물			정준명(레지스트리 외)	C	1	1
산화철 분진과 흄		산화철	산화철-177	1309-37-1					레지스트리 포함매칭	R	1	1
샌딩분진		일반 분진	일반분진-160						동의어사전→일반 분진	R	1	1
석영(호흡성 분진 중 함유량)	호흡성 분진 중 함유량	결정형 유리규산	광물성분-012	14808-60-7	Group 1				동의어사전→결정형 유리규산	R	1	1
석영(호흡성 분진)	호흡성 분진	결정형 유리규산	광물성분-012	14808-60-7	Group 1				동의어사전→결정형 유리규산	R	1	1
세척액(산성)	산성	산류(세척액)				산류			정준명(레지스트리 외)	C	1	1
셀로솔브		2-에톡시에탄올	2에톡시-096	110-80-5					동의어사전→2-에톡시에탄올	R	1	1
소음 (1일 작업환경 노출 추정수준)	1일 작업환경 노출 추정수준	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (LAFMAX)	LAFMAX	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (LAeq)	LAeq	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (교환실)	교환실	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (배경소음)	배경소음	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (빙축열 냉각기, 1대 가동)	빙축열 냉각기, 1대 가동	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (빙축열 냉수 펌프, 1대 가동)	빙축열 냉수 펌프, 1대 가동	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (빙축열 냉수 펌프, 3대 가동)	빙축열 냉수 펌프, 3대 가동	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (순음청력검사 - 우측 평균청력역치)	순음청력검사 - 우측 평균청력역치	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (순음청력검사 - 좌측 평균청력역치)	순음청력검사 - 좌측 평균청력역치	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (압축기)	압축기	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (전기공 근무 기간 추정 노출)	전기공 근무 기간 추정 노출	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (착암공 근무 기간 추정 노출)	착암공 근무 기간 추정 노출	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (청신경뇌간유발전위검사 - 우측)	청신경뇌간유발전위검사 - 우측	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (터보 냉각기, 1대 가동)	터보 냉각기, 1대 가동	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (터보 냉각기, 2대 가동)	터보 냉각기, 2대 가동	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (터보냉각기 2대 + 빙축열 냉동기 1대 가동)	터보냉각기 2대 + 빙축열 냉동기 1대 가동	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음 (헤드셋 내)	헤드셋 내	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음(난청)	난청	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음(배경소음)	배경소음	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음(순음청력 검사-청력역치)	순음청력 검사-청력역치	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음(순음청력검사 결과, 우측)	순음청력검사 결과, 우측	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음(순음청력검사 결과, 좌측)	순음청력검사 결과, 좌측	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
소음(시간가중평균)	시간가중평균	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	1
수은 (요중, penicillamin 투여 전)	요중, penicillamin 투여 전	수은 및 그 화합물	수은및그-103	7439-97-6					동의어사전→수은 및 그 화합물	R	1	1
수은 (혈중, penicillamin 투여 전)	혈중, penicillamin 투여 전	수은 및 그 화합물	수은및그-103	7439-97-6					동의어사전→수은 및 그 화합물	R	1	1
수은 (혈중, penicillamin 투여 후)	혈중, penicillamin 투여 후	수은 및 그 화합물	수은및그-103	7439-97-6					동의어사전→수은 및 그 화합물	R	1	1
수은(소변)	소변	수은 및 그 화합물	수은및그-103	7439-97-6					동의어사전→수은 및 그 화합물	R	1	1
수은(혈액)	혈액	수은 및 그 화합물	수은및그-103	7439-97-6					동의어사전→수은 및 그 화합물	R	1	1
순음청력검사 (우측)	우측					비유해인자	건강결과	소음	비유해인자:건강결과	NA	1	1
순음청력검사 (좌측)	좌측					비유해인자	건강결과	소음	비유해인자:건강결과	NA	1	1
스팟용접 (용접흄)	용접흄	용접 흄	용접흄-145		Group 1				동의어사전→용접 흄	R	1	1
시멘트분진		포틀랜드 시멘트	포틀랜드-108	65997-15-1					동의어사전→포틀랜드 시멘트	R	1	1
아르신		삼수소화 비소	삼수소화-117	7784-42-1					동의어사전→삼수소화 비소	R	1	1
아연		산화아연	산화아연-119	1314-13-2					레지스트리 포함매칭	R	1	1
아황산가스		이산화황	이산화황-154	7446-09-5					동의어사전→이산화황	R	1	1
알코올		알콜류	알콜류-127						동의어사전→알콜류	R	1	1
알코올 (혈중)	혈중					비유해인자	생체지표	에탄올	비유해인자:생체지표	NA	1	1
알코올(혈중)	혈중					비유해인자	생체지표	에탄올	비유해인자:생체지표	NA	1	1
알킬수은		수은 및 그 화합물	수은및그-103	7439-97-6					동의어사전→수은 및 그 화합물	R	1	1
에틸렌옥사이드		산화에틸렌	산화에틸-085	75-21-8	Group 1				동의어사전→산화에틸렌	R	1	1
에폭시수지가 포함된 분진		페인트 및 코팅제	페인트및-196						동의어사전→페인트 및 코팅제	R	1	1
엠이케이		메틸 에틸 케톤	메틸에틸-054	78-93-3					동의어사전→메틸 에틸 케톤	R	1	1
연 (납)	납	납 및 그 무기화합물	납및그무-034	7439-92-1	Group 2A				동의어사전→납 및 그 무기화합물	R	1	1
염산		염화수소				산류			정준명(레지스트리 외)	C	1	1
염화메틸		클로로메탄				유기용제			정준명(레지스트리 외)	C	1	1
염화비닐단량체(VCM)	VCM	염화비닐	염화비닐-138	75-01-4	Group 1				레지스트리 포함매칭	R	1	1
오일 미스트		미네랄 오일 미스트	미네랄오-059		Group 1				동의어사전→미네랄 오일 미스트	R	1	1
오존		오존	오존-143	10028-15-6					레지스트리 정확일치	R	1	1
옥탄		옥탄				유기용제			정준명(레지스트리 외)	C	1	1
요중 NMF(N-methylformamide)	N-methylformamide / 요중					비유해인자	생체지표	디메틸포름아미드	비유해인자:생체지표	NA	1	1
요중 마뇨산	요중					비유해인자	생체지표	톨루엔	비유해인자:생체지표	NA	1	1
요중 벤지딘	요중	벤지딘	벤지딘-069						레지스트리 정확일치	R	1	1
요추부 압박력		근골격계 유해요인	근골격계-025						동의어사전→근골격계 유해요인	R	1	1
요추부압박력(형틀운반 작업)	형틀운반 작업	근골격계 유해요인	근골격계-025						동의어사전→근골격계 유해요인	R	1	1
용접흄 및 분진		용접 흄	용접흄-145		Group 1				동의어사전→용접 흄	R	1	1
우레탄 수지(이소시아네이트 포함)	이소시아네이트 포함	디이소시아네이트류	디이소시-043						동의어사전→디이소시아네이트류	R	1	1
우주 전리 방사선		전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
우주방사선		전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
우주방사선(총 누적 방사선량)	총 누적 방사선량	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
유기화합물(IPA)	IPA	유기화합물	유기화합-147						레지스트리 정확일치	R	1	1
유리규산(호흡성 분진 내)	호흡성 분진 내	결정형 유리규산	광물성분-012	14808-60-7	Group 1				동의어사전→결정형 유리규산	R	1	1
유리규산(호흡성 분진 중 함유량)	호흡성 분진 중 함유량	결정형 유리규산	광물성분-012	14808-60-7	Group 1				동의어사전→결정형 유리규산	R	1	1
유리섬유		유리 섬유	유리섬유-148						레지스트리 정확일치	R	1	1
은(금속)	금속	은 및 그 가용성 화합물	은및그가-149	7440-22-4					동의어사전→은 및 그 가용성 화합물	R	1	1
의료용 방사선		전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
이동대차를 밀거나 당기는 동작		근골격계 유해요인	근골격계-025						동의어사전→근골격계 유해요인	R	1	1
이산화탄소		이산화탄소	이산화탄-153	124-38-9					레지스트리 정확일치	R	1	1
